user_id,touch_order,timestamp,channel,campaign
1,1,2025-06-29 14:00:00,Display,Prospecting
1,2,2025-07-09 18:00:00,Search,Brand
1,4,2025-07-23 01:00:00,Display,Retargeting
1,3,2025-07-23 03:00:00,Search,Prospecting
2,2,2025-07-14 16:00:00,Social,Brand
2,1,2025-07-30 20:00:00,CTV,Prospecting
3,3,2025-06-03 04:00:00,CTV,Brand
3,4,2025-07-09 17:00:00,Email,Retargeting
3,2,2025-07-21 11:00:00,Social,Prospecting
3,1,2025-07-30 15:00:00,Search,Brand
4,2,2025-06-28 14:00:00,CTV,Prospecting
4,1,2025-07-28 08:00:00,Search,Brand
5,2,2025-06-02 05:00:00,Search,Prospecting
5,1,2025-06-14 16:00:00,Search,Prospecting
5,3,2025-06-29 17:00:00,Display,Retargeting
6,1,2025-06-14 15:00:00,Search,Prospecting
6,3,2025-07-17 20:00:00,CTV,Retargeting
6,2,2025-07-30 07:00:00,Display,Prospecting
6,4,2025-07-30 12:00:00,Search,Prospecting
7,1,2025-06-25 06:00:00,Social,Brand
8,3,2025-06-28 06:00:00,Display,Brand
8,1,2025-07-21 16:00:00,Display,Prospecting
8,2,2025-07-29 04:00:00,Email,Prospecting
9,1,2025-07-18 22:00:00,Search,Brand
10,3,2025-06-05 22:00:00,Display,Brand
10,2,2025-07-05 04:00:00,Email,Prospecting
10,1,2025-07-14 07:00:00,Search,Prospecting
11,1,2025-06-15 14:00:00,Search,Brand
12,2,2025-06-04 04:00:00,Search,Brand
12,1,2025-07-02 06:00:00,Social,Prospecting
12,3,2025-07-13 03:00:00,Email,Prospecting
13,3,2025-06-20 10:00:00,Search,Brand
13,1,2025-06-22 01:00:00,CTV,Brand
13,2,2025-07-23 05:00:00,Social,Brand
14,1,2025-07-09 00:00:00,Search,Prospecting
15,1,2025-07-22 12:00:00,Display,Brand
16,1,2025-06-09 04:00:00,CTV,Brand
16,3,2025-06-24 08:00:00,Social,Brand
16,2,2025-06-24 14:00:00,Search,Brand
17,2,2025-07-19 04:00:00,Search,Brand
17,1,2025-07-22 11:00:00,Search,Brand
18,1,2025-06-02 01:00:00,Social,Brand
19,1,2025-06-01 18:00:00,CTV,Prospecting
20,2,2025-06-11 23:00:00,Search,Prospecting
20,1,2025-07-02 05:00:00,Search,Prospecting
21,3,2025-06-06 15:00:00,Search,Prospecting
21,5,2025-06-19 19:00:00,CTV,Brand
21,2,2025-07-18 15:00:00,Display,Brand
21,1,2025-07-22 01:00:00,CTV,Prospecting
21,4,2025-07-29 03:00:00,Search,Prospecting
22,1,2025-07-10 06:00:00,Email,Brand
23,2,2025-07-05 06:00:00,CTV,Prospecting
23,4,2025-07-18 11:00:00,Social,Retargeting
23,1,2025-07-27 17:00:00,Email,Retargeting
23,3,2025-07-27 19:00:00,Social,Brand
24,1,2025-07-11 02:00:00,Display,Prospecting
25,2,2025-06-11 16:00:00,Search,Retargeting
25,3,2025-06-20 02:00:00,Social,Retargeting
25,1,2025-06-24 21:00:00,Display,Prospecting
25,4,2025-06-25 17:00:00,Search,Prospecting
26,3,2025-06-08 06:00:00,Display,Brand
26,2,2025-06-14 20:00:00,Search,Brand
26,1,2025-06-16 08:00:00,Search,Brand
27,3,2025-06-08 01:00:00,Social,Prospecting
27,2,2025-06-30 05:00:00,Email,Brand
27,4,2025-07-17 00:00:00,Search,Prospecting
27,1,2025-07-29 18:00:00,CTV,Brand
28,1,2025-06-04 02:00:00,Display,Brand
28,3,2025-07-11 04:00:00,Email,Brand
28,2,2025-07-14 13:00:00,Email,Brand
29,3,2025-06-18 09:00:00,Email,Prospecting
29,2,2025-06-21 22:00:00,Search,Brand
29,5,2025-06-22 22:00:00,Search,Prospecting
29,1,2025-07-01 02:00:00,Email,Brand
29,4,2025-07-10 13:00:00,Search,Prospecting
30,1,2025-06-26 16:00:00,Display,Brand
30,2,2025-07-24 15:00:00,Social,Brand
31,1,2025-07-05 17:00:00,Display,Retargeting
31,2,2025-07-28 06:00:00,Social,Prospecting
32,1,2025-06-08 13:00:00,Display,Retargeting
33,1,2025-07-04 01:00:00,Social,Prospecting
33,2,2025-07-21 21:00:00,CTV,Brand
33,3,2025-07-22 09:00:00,Display,Brand
33,4,2025-07-30 04:00:00,Social,Prospecting
34,2,2025-07-02 19:00:00,Social,Prospecting
34,3,2025-07-10 19:00:00,Search,Retargeting
34,4,2025-07-12 18:00:00,Display,Brand
34,1,2025-07-14 04:00:00,Social,Prospecting
35,2,2025-06-23 08:00:00,CTV,Brand
35,4,2025-07-24 15:00:00,Search,Retargeting
35,3,2025-07-28 00:00:00,Social,Brand
35,1,2025-07-28 22:00:00,Search,Brand
36,1,2025-06-16 06:00:00,CTV,Brand
37,3,2025-06-05 14:00:00,Search,Retargeting
37,2,2025-07-07 21:00:00,Search,Brand
37,5,2025-07-18 20:00:00,Social,Brand
37,4,2025-07-22 04:00:00,Social,Brand
37,1,2025-07-25 02:00:00,Search,Brand
38,3,2025-06-01 23:00:00,CTV,Brand
38,1,2025-06-23 09:00:00,Email,Retargeting
38,4,2025-06-24 15:00:00,CTV,Brand
38,5,2025-07-02 19:00:00,Social,Brand
38,2,2025-07-22 09:00:00,CTV,Prospecting
39,2,2025-06-12 02:00:00,Display,Prospecting
39,1,2025-07-03 00:00:00,Display,Prospecting
39,3,2025-07-13 11:00:00,Search,Brand
39,4,2025-07-16 01:00:00,Search,Prospecting
40,1,2025-06-26 07:00:00,Social,Prospecting
41,2,2025-07-20 12:00:00,Email,Brand
41,1,2025-07-21 08:00:00,Social,Prospecting
42,1,2025-06-21 03:00:00,Search,Prospecting
43,3,2025-06-12 16:00:00,CTV,Prospecting
43,2,2025-07-09 23:00:00,Display,Prospecting
43,1,2025-07-19 02:00:00,Social,Brand
44,2,2025-06-25 21:00:00,Search,Brand
44,3,2025-07-06 11:00:00,Email,Prospecting
44,1,2025-07-11 16:00:00,Social,Brand
45,1,2025-06-07 13:00:00,CTV,Brand
46,2,2025-06-25 19:00:00,CTV,Prospecting
46,1,2025-07-17 15:00:00,Social,Brand
47,1,2025-07-09 12:00:00,Email,Retargeting
48,1,2025-06-05 02:00:00,Display,Brand
48,2,2025-06-18 14:00:00,Search,Prospecting
49,3,2025-06-05 04:00:00,Search,Prospecting
49,1,2025-06-17 05:00:00,Search,Prospecting
49,2,2025-07-12 08:00:00,Display,Prospecting
49,4,2025-07-15 00:00:00,Display,Brand
50,1,2025-07-15 03:00:00,Social,Prospecting
51,2,2025-06-19 06:00:00,Social,Brand
51,1,2025-07-14 21:00:00,Display,Brand
51,3,2025-07-20 19:00:00,Search,Brand
52,1,2025-07-09 00:00:00,CTV,Brand
53,1,2025-07-30 16:00:00,Search,Prospecting
54,1,2025-06-06 11:00:00,Email,Prospecting
54,5,2025-06-15 00:00:00,CTV,Prospecting
54,2,2025-07-17 20:00:00,Search,Retargeting
54,4,2025-07-27 17:00:00,Search,Brand
54,3,2025-07-30 04:00:00,Search,Prospecting
55,1,2025-06-11 11:00:00,Email,Brand
56,1,2025-06-24 20:00:00,Search,Brand
56,2,2025-06-26 07:00:00,Social,Prospecting
56,3,2025-06-28 04:00:00,Email,Retargeting
56,4,2025-07-24 16:00:00,Search,Brand
57,2,2025-06-06 17:00:00,Social,Prospecting
57,3,2025-06-25 01:00:00,Search,Retargeting
57,1,2025-06-28 15:00:00,Search,Retargeting
57,5,2025-07-24 00:00:00,Social,Retargeting
57,4,2025-07-29 12:00:00,Search,Brand
58,3,2025-06-21 15:00:00,Search,Prospecting
58,1,2025-06-21 21:00:00,Display,Prospecting
58,2,2025-07-03 01:00:00,Search,Brand
59,3,2025-06-17 20:00:00,Social,Brand
59,1,2025-07-01 04:00:00,Email,Prospecting
59,2,2025-07-07 20:00:00,Email,Prospecting
59,5,2025-07-19 07:00:00,CTV,Brand
59,4,2025-07-21 12:00:00,CTV,Brand
60,2,2025-07-20 11:00:00,Display,Retargeting
60,1,2025-07-28 01:00:00,Social,Prospecting
61,2,2025-06-15 04:00:00,CTV,Prospecting
61,3,2025-07-21 06:00:00,Search,Brand
61,1,2025-07-27 16:00:00,Search,Brand
62,1,2025-07-04 17:00:00,Social,Brand
62,2,2025-07-04 19:00:00,Social,Brand
63,3,2025-06-17 19:00:00,Social,Retargeting
63,2,2025-06-29 03:00:00,Social,Prospecting
63,1,2025-06-30 22:00:00,Social,Prospecting
63,4,2025-07-23 01:00:00,Search,Prospecting
64,2,2025-07-01 10:00:00,Search,Prospecting
64,3,2025-07-10 03:00:00,Social,Retargeting
64,1,2025-07-21 14:00:00,Search,Brand
65,2,2025-06-21 04:00:00,Social,Brand
65,3,2025-06-22 20:00:00,Social,Prospecting
65,1,2025-06-27 17:00:00,CTV,Brand
66,3,2025-06-22 14:00:00,Social,Brand
66,1,2025-06-26 13:00:00,Social,Prospecting
66,2,2025-07-15 08:00:00,Search,Brand
66,4,2025-07-18 16:00:00,Search,Prospecting
67,1,2025-07-05 19:00:00,Search,Brand
68,2,2025-06-26 13:00:00,Search,Brand
68,1,2025-06-28 22:00:00,Social,Prospecting
69,3,2025-06-15 22:00:00,Social,Brand
69,2,2025-07-15 17:00:00,Social,Prospecting
69,1,2025-07-17 22:00:00,Social,Prospecting
70,1,2025-06-17 06:00:00,Search,Prospecting
71,1,2025-06-17 12:00:00,CTV,Prospecting
72,2,2025-06-22 01:00:00,Social,Prospecting
72,1,2025-07-11 12:00:00,Social,Prospecting
72,3,2025-07-14 18:00:00,Social,Brand
73,2,2025-06-06 04:00:00,Email,Brand
73,3,2025-06-21 05:00:00,Social,Brand
73,1,2025-06-26 01:00:00,Search,Brand
73,4,2025-06-30 10:00:00,Search,Prospecting
74,1,2025-07-25 02:00:00,Social,Brand
75,2,2025-06-04 14:00:00,Display,Brand
75,4,2025-06-15 10:00:00,Social,Brand
75,1,2025-06-24 05:00:00,Social,Retargeting
75,3,2025-07-26 05:00:00,CTV,Retargeting
76,3,2025-06-01 13:00:00,Search,Prospecting
76,1,2025-06-05 05:00:00,Email,Prospecting
76,4,2025-06-11 03:00:00,Search,Prospecting
76,2,2025-06-20 00:00:00,Display,Prospecting
77,2,2025-06-02 12:00:00,CTV,Brand
77,1,2025-07-26 09:00:00,Social,Prospecting
78,5,2025-06-01 07:00:00,Display,Brand
78,3,2025-06-05 11:00:00,Social,Retargeting
78,1,2025-06-09 16:00:00,Search,Brand
78,4,2025-06-11 08:00:00,Search,Brand
78,2,2025-07-08 22:00:00,Display,Brand
79,1,2025-06-08 10:00:00,Display,Brand
79,2,2025-06-30 02:00:00,Search,Prospecting
79,5,2025-07-09 07:00:00,Social,Brand
79,4,2025-07-15 09:00:00,Social,Prospecting
79,3,2025-07-29 13:00:00,Social,Brand
80,1,2025-06-23 14:00:00,Social,Brand
81,1,2025-06-14 20:00:00,Email,Prospecting
81,2,2025-07-21 05:00:00,Email,Prospecting
82,2,2025-06-30 06:00:00,Social,Retargeting
82,1,2025-07-22 14:00:00,Display,Brand
83,1,2025-07-03 04:00:00,Display,Brand
84,1,2025-06-22 01:00:00,Display,Retargeting
84,4,2025-06-29 07:00:00,Search,Brand
84,2,2025-07-03 21:00:00,Display,Brand
