user_id,converted,revenue,last_touch_channel,last_touch_campaign,cost
1,0,0.0,Search,Prospecting,1.5460662067834532
2,0,0.0,CTV,Prospecting,5.162095613638581
3,0,0.0,Search,Brand,1.7643390889541275
4,0,0.0,Search,Brand,2.3720423362028105
5,0,0.0,Display,Retargeting,0.6714362051162016
6,0,0.0,Search,Prospecting,2.4270499520997317
7,0,0.0,Social,Brand,1.1688385148255653
8,0,0.0,Email,Prospecting,0.16072362532123044
9,0,0.0,Search,Brand,2.391845566057274
10,0,0.0,Search,Prospecting,1.63709752267614
11,0,0.0,Search,Brand,1.5433244478034163
12,0,0.0,Email,Prospecting,0.2837536587138498
13,0,0.0,Social,Brand,1.8245700098113231
14,0,0.0,Search,Prospecting,2.865526681578921
15,0,0.0,Display,Brand,0.8444427211616049
16,0,0.0,Search,Brand,2.504530312815906
17,0,0.0,Search,Brand,1.8077386801322117
18,0,0.0,Social,Brand,1.8716727142210352
19,0,0.0,CTV,Prospecting,4.385132131168945
20,0,0.0,Search,Prospecting,2.8345573021060395
21,0,0.0,Search,Prospecting,2.54013943621019
22,0,0.0,Email,Brand,0.20957378619106187
23,0,0.0,Social,Brand,1.8799205100153726
24,0,0.0,Display,Prospecting,0.6433862914191605
25,0,0.0,Search,Prospecting,2.1947643839999955
26,0,0.0,Search,Brand,2.5839052115976786
27,0,0.0,CTV,Brand,5.380559444582907
28,0,0.0,Email,Brand,0.2737746694881774
29,0,0.0,Search,Prospecting,1.8105821788066137
30,0,0.0,Social,Brand,1.5411850242019922
31,0,0.0,Social,Prospecting,1.1041579713239928
32,0,0.0,Display,Retargeting,0.8328722343357587
33,0,0.0,Social,Prospecting,2.006625798870235
34,0,0.0,Social,Prospecting,1.4594390074949872
35,0,0.0,Search,Brand,2.826521848206773
36,0,0.0,CTV,Brand,4.410591278044381
37,0,0.0,Search,Brand,2.6240529555549323
38,0,0.0,CTV,Prospecting,4.237830480421425
39,0,0.0,Search,Prospecting,2.6012335240763225
40,0,0.0,Social,Prospecting,1.485567084267593
41,0,0.0,Social,Prospecting,1.9050552769183933
42,0,0.0,Search,Prospecting,2.2300642996355036
43,0,0.0,Social,Brand,1.9103891824526882
44,0,0.0,Social,Brand,1.8929021860254045
45,0,0.0,CTV,Brand,4.2822666262935885
46,0,0.0,Social,Brand,1.7407108594503642
47,0,0.0,Email,Retargeting,0.2839321972759638
48,0,0.0,Search,Prospecting,2.1790951984583478
49,0,0.0,Display,Brand,0.8724234967721725
50,0,0.0,Social,Prospecting,1.5206292642817711
51,0,0.0,Search,Brand,1.4865521164826154
52,0,0.0,CTV,Brand,5.3868726611098285
53,0,0.0,Search,Prospecting,2.725945936390185
54,0,0.0,Search,Prospecting,2.0873469099837045
55,0,0.0,Email,Brand,0.22358059986821252
56,0,0.0,Search,Brand,2.2506809161529704
57,0,0.0,Search,Brand,1.4609062508758426
58,0,0.0,Search,Brand,2.508467184175241
59,0,0.0,CTV,Brand,2.9213970315514306
60,0,0.0,Social,Prospecting,1.3916092529585389
61,0,0.0,Search,Brand,2.2493554760870786
62,0,0.0,Social,Brand,1.147694772529083
63,0,0.0,Search,Prospecting,1.928010969238277
64,0,0.0,Search,Brand,1.5087428924971018
65,0,0.0,CTV,Brand,4.120977846884575
66,0,0.0,Search,Prospecting,2.0513977160647014
67,0,0.0,Search,Brand,2.364176868891275
68,0,0.0,Social,Prospecting,1.8874143550375893
69,0,0.0,Social,Prospecting,1.6544451810749556
70,0,0.0,Search,Prospecting,2.024898064417658
71,0,0.0,CTV,Prospecting,3.061010911727112
